,CELA2A,CELA3A,CELA3B,CHGB,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,ERCC-00002,ERCC-00003,ERCC-00004,ERCC-00009,ERCC-00022,ERCC-00042,ERCC-00043,ERCC-00044,ERCC-00046,ERCC-00074,ERCC-00076,ERCC-00092,ERCC-00095,ERCC-00096,ERCC-00108,ERCC-00111,ERCC-00112,ERCC-00113,ERCC-00116,ERCC-00130,ERCC-00131,ERCC-00136,ERCC-00145,ERCC-00171,GCG,GP2,INS,MALAT1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS3,REG1A,REG1B,SCG5,SPINK1,SYCN,TRY6,TTR
GSM2171880,0.0,0.0,0.0,0.0005644244908758753,0.0,0.00021371317829643386,0.0,0.0,0.0,0.0,0.0,0.0005172520577066386,0.0003715508489975282,0.00046864572323016836,0.00047442098955563104,0.0,0.0004348823473570456,0.0004600723694554898,0.0,0.0004935922098075,0.0005830970353808229,0.0,0.0,0.0,0.0004916537823670352,0.0003338161116659409,0.0,0.0004396517489927434,0.0004702170723701837,0.0,0.0005960842632050544,0.00031298193421720494,0.0005281758979049729,0.0003751931361222221,0.00039495891284953787,0.0007503862722444442,0.0,0.0,0.000714394854117416,8.468184337744553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005345834558122618,0.0,0.0,0.0,0.0006025883199929978
GSM2171881,0.0,0.0,0.0,0.0005404129694162172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005383502655788555,0.0005027403519048852,0.0005326444475929382,0.00044703756138084373,0.0,0.0005228483784275057,0.0003949413638098957,0.0,0.0005328038116796113,0.0006263513681037042,0.0002542218886086313,0.0,0.00041751622931198026,0.0004781758595305094,0.00042291559183629444,0.0,0.0,0.0004971121228096829,0.0,0.0006414259439871114,0.0,0.0005212215934439491,0.00025836228786599324,0.0003663878751642844,0.0008971854047285701,0.0,0.0,0.0007885014498207077,0.0,0.0,0.0,0.0,5.882140633236444e-05,0.0,0.0,0.0006263513681037042,0.00016513256458951364,0.0,0.0,0.0006430916644843843
GSM2171882,0.0,0.00046809887416878355,0.00018799936018079198,0.0,0.00026896627754345554,0.000508909642045722,0.0008717996926223037,0.0009135568822749263,0.0005027602975221925,0.0005390948589071024,0.0003082697913445685,0.0006548169355411287,0.0003610664313506552,0.00047020362606989567,0.000397295805362266,8.096691736266359e-05,0.0,0.0004911525421983414,0.000256659055637621,0.0005103976949100052,0.0006935669894327094,0.0,0.0,0.0001283295278188105,0.0005906229553674795,0.00041530223416269687,0.00041530223416269687,0.0,0.0006052870909303579,0.00046595550081909506,0.0007869489514808139,0.0,0.0006372391698645325,0.0005511705434325593,0.00033762597300028454,8.096691736266359e-05,0.0007540354246486666,0.0,0.0009208698634146144,0.0005552695805072116,0.0008325899649122628,0.0006995739977442872,0.0008583175074502406,0.00034993319490611916,0.0009582006395349071,0.0008158886957252143,0.0,0.0007174548912611095,0.0,0.0006135210537410353,0.0
GSM2171883,0.0,0.0,0.0,0.00046297238962854825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005604767401161431,0.00020276448144839054,0.0005180824009176444,0.00045728916002208455,0.0003248408633908273,0.0005276053448392179,0.00044123401572680054,0.0,0.0004980637849548506,0.0006207538244010044,0.0,0.0,0.0003291373006289982,0.0005127744833579736,0.0,0.00038697297520495126,0.0,0.000476546820712634,0.0,0.0006537682485558957,0.0,0.0005408647147807096,0.00029022973140371345,0.00040813189610736176,0.0008963171148703466,0.0,0.0,0.0007901887977202059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006137562495676597,0.0,0.0,0.0,0.0006613165130210741
GSM2171884,0.0,0.0,0.0,0.0006633791789940581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000523633546150755,0.0004368744937489147,0.0005114047945867941,0.00028046027996577366,0.00042392090915339124,0.0,0.00045740548622599954,0.0,0.0005380166638983457,0.0006172481554459076,0.0,0.0003420792738705712,0.0,0.0005251626790304709,0.0,0.0,7.366276212941158e-05,0.0005581743373121434,0.0004199101349904773,0.0006836472096177266,0.0,0.0,0.0004021568126854677,0.0003920279233235203,0.0010398429033505704,0.0,0.0,0.0007962773783392899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007868095243743225,0.0,0.0,0.0,0.0006808777264653337
GSM2171885,0.0,0.0,0.0,0.0004218841860204813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034558474492849277,6.668098152480239e-05,0.00033188743745946774,0.0002696495837619972,0.0,0.00031942237573417373,0.0003236728070480544,0.0,0.00033265091475950505,0.0004045779729757787,0.0,0.0,0.0,0.0003224884642019381,0.0002191669919444592,0.0,0.0,0.00032953763516971546,0.0002689312837212498,0.0004256048609799249,0.0,0.00034135337033221094,0.00025147023476335925,0.0002636500720678401,0.0006321610895197392,0.0,0.0,0.0005408910582304393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004474172977806142,0.00022078563840356656,0.0,0.0,0.0004679486660964286
GSM2171886,0.0,0.0,0.0,0.00034841256417836097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003543600787829889,0.0003004526735810261,0.0003425387388163325,0.00011211143032377105,0.0,0.00027337394173018313,0.0002611406351464415,0.0,0.00033514633386975967,0.000416455491860796,0.0,0.0,0.00020483739018779056,0.0003080676020189166,0.00029275941218993466,0.0002552765393931846,0.0,0.00032190306370102466,0.0,0.00040440890248549924,0.0,0.00035533454392774357,0.00028790877930061815,0.00027081290329547005,0.00010323021183112607,0.0,0.0003776795335491069,0.0005355344126644454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004706181815480817,0.0,0.0,0.0,0.00034147319418489707
GSM2171887,0.0,0.0,0.0,0.0004931303283639224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039477812260924896,0.00042024627987545613,0.0003582870195112613,0.0003239638385096268,0.00017172829645372721,0.00031017221002109025,0.0003239638385096268,0.0,0.0003856180651089882,0.0005041961323179251,0.00012003292811687883,0.0,0.0,0.0003519087200954256,0.0003041053992309613,0.0001968226150848805,0.0,0.0003741919991705989,0.0,0.0004937293729623573,0.0,0.0004161398858196914,0.0003041053992309613,0.0003157824217877941,5.169536833684838e-05,0.0,0.00046977973882585903,0.0001968226150848805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004585567714610489,0.0,0.0,0.0,0.0004074961359046581
GSM2171888,0.0001717689472384126,0.0005389511725612114,0.00039099745460015176,0.0,0.0002559178850047173,0.0005946939764267797,0.0007877320472185843,0.0008317787160870898,0.0004635971841820688,0.0005144495997764104,0.00037635452117586177,0.0006367432608190941,0.0005622176805907945,0.0005716872816799734,0.0004977104226994436,0.0,0.0005844813096779403,0.0005901341119489648,0.0,0.0005605543838466017,0.0007065342481010444,0.0,0.00011725054740527682,0.00031424833462152866,0.0006073095739363685,0.000456431671752143,0.00042170062515593457,0.0,0.0005654684714184146,0.0,0.0007879977002433386,0.0003477237661754048,0.0006843080215892745,0.0004487502246058107,0.0004062700420489662,0.0,0.0007564287286094338,0.0,0.0009292622836539152,0.00047288356454368795,0.0008237847955063212,0.0007512215472262777,0.0008006787120113862,0.0003249298465826284,0.0008577117161990353,0.0006970147565125845,0.0,0.0006781767993897443,0.0001717689472384126,0.0005577232882011575,0.0
GSM2171889,0.00018711861984890843,0.00044257527787397465,0.0002083159321605047,0.0,0.00038741321065022597,0.0006371973614533277,0.0007681111865920221,0.0008527135933252541,0.0005388490509333438,0.0005464935253971674,0.00035937490554825897,0.0006813945545161454,0.0006710069951477805,0.0005878560020266375,0.0005556368376870455,0.00040651563141282055,0.0,0.0005802043377210988,0.00018711861984890843,0.0005833256885571259,0.0007682681931458204,0.0002083159321605047,0.00034829382614485154,0.00024176280944391467,0.0006205599800704323,0.00012772832901253311,0.00043455393651478755,0.0,0.0006868934283218708,0.0004476310020291445,0.0007742317226359307,0.0,0.0006371973614533277,0.0,0.00042593789649107916,0.0,0.0007185093490968005,0.0,0.000986071055809792,0.00043996250869623055,0.0006381622079485464,0.00068625983909488,0.0008214717764308556,0.00027878730240028744,0.0009907940177664954,0.0009129055469718772,0.0,0.000695125201114828,0.0,0.0005676908377087637,0.0
GSM2171890,0.00023435678032276194,0.0004637429453520365,0.00028777288434660934,0.0,0.00035023296061722245,0.0006497076254707475,0.000689630835730778,0.0008519531463671141,0.0004500834001674492,0.0005013674116001878,0.00028248865861680385,0.0005471582350083026,0.0004645891356470534,0.0004662598492970504,0.0004219669744748047,0.0,0.00043304308197126163,0.0004064658120025114,0.0,0.00042326148834744655,0.0005865444934710295,0.00010737217830819265,0.0,0.00019018229966223188,0.0004916466737495373,0.0003823390981670306,6.774430200041858e-05,0.0,0.0004548518760537306,0.0,0.0006645014313770171,0.0,0.0005344174050571269,0.00041381772557692306,0.00029755447797042453,6.774430200041858e-05,0.0007073093940374896,0.0,0.0008233982334137737,0.00047572540588381856,0.0005419544160033486,0.0006779190772948883,0.0007940376832166407,0.0004152239997459565,0.0008746732380702521,0.0008177500814379427,0.0,0.0006346629310212498,6.774430200041858e-05,0.000610269709122764,0.0
GSM2171891,0.00031701165085125914,0.0006813274989439602,0.0004771500794059303,0.0,0.00047277903257873284,0.0008985443864810703,0.0010548763224239668,0.0012392900086985574,0.0007078857832998571,0.000779177197681067,0.0005725800952871162,0.000747492818447325,0.0,0.0006312418654733521,0.0005944162665550504,0.0,0.0005466155399451365,0.0005112712728849839,0.0,0.0005925682332954549,0.0008008789849357315,0.0,0.0,0.0002215816349700731,0.000663639064341105,0.0003979360091109946,0.000535811849592166,0.0,0.0005849175756473422,0.0004124416667324452,0.0009166510629550325,0.0,0.0007539798449607385,0.0,0.0003301336143064345,0.0,0.0009770511268718028,0.0,0.0010469459945667459,0.0007315031283116073,0.0010244135095380724,0.0010026644189293388,0.0011216495383388368,0.0006050119864596171,0.00116221018014319,0.0009804284771930767,0.0,0.0008633671786120996,0.0001908600317623721,0.0008891608337031448,0.0
GSM2171892,0.0,0.0,0.0,0.0005065553779901511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004490567891218151,0.00041098533936577625,0.00046849218451723866,0.000379361486022966,0.0,0.00037545805938663516,0.00040538738667663104,0.0,0.00045057481672562834,0.000568477807718713,0.00020230456365627787,0.0,0.0,0.000424480355215116,0.00022156979718620192,0.0,0.0,0.00039679271129004637,8.42172988029891e-05,0.0005517975571586744,0.00010627039916044742,0.0004577443268927795,0.0003378097946070332,0.00039850580803108606,0.00010627039916044742,0.0,0.0004888264261155449,0.0007174029856393061,0.0,0.0,0.0,0.0,0.0,0.0001684345976059782,0.0,0.0005512797908373096,0.0,0.0,0.0,0.0003900043947921801
GSM2171893,0.0004283429757707328,0.000548579374846413,0.00041224061803214404,0.0,0.0003425835109573639,0.0007601898438431751,0.0008471826095025061,0.0010145380500493453,0.0005387103440591089,0.0005830778514503569,0.0005112321914724298,0.0006638832825254955,0.0006295423687697689,0.0005552494485813588,0.000696331622900562,0.0005075824267314302,0.0005494350789543982,0.00048122992167549294,0.0,0.0005442004352255412,0.0007186807080733376,0.0,0.0,0.0,0.0006270041134484506,0.00041224061803214404,0.0,0.0,0.0006208488928812647,0.0,0.0007941867747196891,0.0,0.0006230860351149964,0.0005710816392083466,0.0004178680179989294,0.0,0.0007272494678766064,0.0,0.000980805803700803,0.0006992959668162414,0.0009947497110793994,0.000756325388404019,0.0009154262376521608,0.0005849585283412077,0.0009147649101656974,0.0008123869567579321,0.0,0.0006575421938157404,0.0002016169242681773,0.0007199990023743128,0.0
GSM2171894,0.00026754975145358426,0.0005638100968315151,0.00035673300193811235,0.0,0.0005447780667197133,0.000759457791728741,0.0009578837645198445,0.0010842035474544764,0.0006000178151392899,0.0006667102071294368,0.0004839319288139635,0.0006047837019569573,0.0005760731080326108,0.0005638100968315151,0.0005831834382091564,0.0,0.00034842920260380166,0.0005201960911819567,0.0,0.0005502539668743821,0.0007449607856724361,0.00020707709489340274,0.0001413521077103989,0.0,0.000546629382590767,0.00026754975145358426,0.00017836650096905618,0.00031971860867945507,0.0004332505359375393,0.0,0.0007008002873911236,0.0,0.0005108345646547617,0.0003977066070635546,0.000391721144923235,0.0,0.0008638736028342943,0.0,0.0009497352811534348,0.0007488365074197278,0.000983812238508024,0.0008193579212337883,0.0010246572436895226,0.0005447780667197133,0.0010734557168584973,0.0009669560465176828,0.0,0.0008833946104147214,0.0001413521077103989,0.0007822699424808723,0.0
GSM2171895,0.0,0.0,0.0,0.0005473537273038039,0.0,0.0,0.00015558864703236954,0.0,0.0,0.0,0.0,0.0004392105018502241,0.0003779587834900696,0.00040365664585068295,0.0,0.00020467140039769421,0.0003232080903428082,0.00036612944238307926,0.0,0.000412964024547901,0.000524393847914334,0.0,0.00019176094752955942,0.0,0.00040890433843552047,0.0,0.0,0.00027263451465267557,0.00039457227807525937,0.0,0.0005191229726660471,0.0,0.00042805556055384807,0.00016304937737869933,0.0003765837607738539,0.0007461339113619794,0.0,0.0,0.0006358722225658588,0.0,0.0,0.0,0.0,7.779432351618477e-05,0.0,0.0,0.0005681593379230156,0.00037411128959210165,0.0,0.0,0.0005481276305793108
