Accession,Age
GSM2171880,21
GSM2171881,21
GSM2171882,21
GSM2171883,21
GSM2171884,21
GSM2171885,21
GSM2171886,21
GSM2171887,21
GSM2171888,21
GSM2171889,21
GSM2171890,21
GSM2171891,21
GSM2171892,21
GSM2171893,21
GSM2171894,21
GSM2171895,21
GSM2171896,21
GSM2171897,21
GSM2171898,21
GSM2171899,21
GSM2171900,21
GSM2171901,21
GSM2171902,21
GSM2171903,21
GSM2171904,21
GSM2171905,21
GSM2171906,21
GSM2171907,21
GSM2171908,21
GSM2171909,21
GSM2171910,21
GSM2171911,21
GSM2171912,21
GSM2171913,21
GSM2171914,21
GSM2171915,21
GSM2171916,21
GSM2171917,21
GSM2171918,21
GSM2171919,21
GSM2171920,21
GSM2171921,21
GSM2171922,21
GSM2171923,21
GSM2171924,21
GSM2171925,21
GSM2171926,21
GSM2171927,21
GSM2171928,21
GSM2171929,21
GSM2171930,21
GSM2171931,21
GSM2171932,21
GSM2171933,21
GSM2171934,21
GSM2171935,21
GSM2171936,21
GSM2171937,21
GSM2171938,21
GSM2171939,21
GSM2171940,21
GSM2171941,21
GSM2171942,21
GSM2171943,21
GSM2171944,21
GSM2171945,21
GSM2171946,21
GSM2171947,21
GSM2171948,21
GSM2171949,21
GSM2171950,21
GSM2171951,21
GSM2171952,21
GSM2171953,21
GSM2171954,21
GSM2171955,21
GSM2171956,21
GSM2171957,21
GSM2171958,21
GSM2171959,21
GSM2171960,21
GSM2171961,21
GSM2171962,21
GSM2171963,21
GSM2171964,21
GSM2171965,21
GSM2171966,21
GSM2171967,21
GSM2171968,21
GSM2171969,21
GSM2171970,21
GSM2171971,21
GSM2171972,21
GSM2171973,21
GSM2171974,21
GSM2171975,21
GSM2171976,21
GSM2171977,21
GSM2171978,21
GSM2171979,21
GSM2171980,21
GSM2171981,21
GSM2171982,21
GSM2171983,21
GSM2171984,21
GSM2171985,21
GSM2171986,21
GSM2171987,21
GSM2171988,21
GSM2171989,21
GSM2171990,21
GSM2171991,21
GSM2171992,21
GSM2171993,21
GSM2171994,21
GSM2171995,21
GSM2171996,21
GSM2171997,21
GSM2171998,21
GSM2171999,21
GSM2172000,21
GSM2172001,21
GSM2172002,21
GSM2172003,21
GSM2172004,21
GSM2172005,21
GSM2172006,21
GSM2172007,21
GSM2172008,21
GSM2172009,21
GSM2172010,21
GSM2172011,21
GSM2172012,21
GSM2172013,21
GSM2172014,21
GSM2172015,21
GSM2172016,21
GSM2172017,21
GSM2172018,21
GSM2172019,21
GSM2172020,21
GSM2172021,21
GSM2172022,21
GSM2172023,21
GSM2172024,21
GSM2172025,21
GSM2172026,21
GSM2172027,21
GSM2172028,21
GSM2172029,21
GSM2172030,21
GSM2172031,21
GSM2172032,21
GSM2172033,21
GSM2172034,21
GSM2172035,21
GSM2172036,21
GSM2172037,21
GSM2172038,21
GSM2172039,21
GSM2172040,21
GSM2172041,21
GSM2172042,21
GSM2172043,21
GSM2172044,21
GSM2172045,21
GSM2172046,21
GSM2172047,21
GSM2172048,21
GSM2172049,21
GSM2172050,21
GSM2172051,21
GSM2172052,21
GSM2172053,21
GSM2172054,21
GSM2172055,21
GSM2172056,21
GSM2172057,21
GSM2172058,21
GSM2172059,21
GSM2172060,21
GSM2172061,21
GSM2172062,21
GSM2172063,21
GSM2172064,21
GSM2172065,21
GSM2172066,21
GSM2172067,21
GSM2172068,21
GSM2172069,21
GSM2172070,21
GSM2172071,21
GSM2172072,21
GSM2172073,21
GSM2172074,21
GSM2172075,21
GSM2172076,21
GSM2172077,21
GSM2172078,21
GSM2172079,21
GSM2172080,21
GSM2172081,21
GSM2172082,21
GSM2172083,21
GSM2172084,21
GSM2172085,21
GSM2172086,21
GSM2172087,21
GSM2172088,21
GSM2172089,21
GSM2172090,21
GSM2172091,21
GSM2172092,21
GSM2172093,21
GSM2172094,21
GSM2172095,21
GSM2172096,21
GSM2172097,21
GSM2172098,21
GSM2172099,21
GSM2172100,21
GSM2172101,21
GSM2172102,21
GSM2172103,21
GSM2172104,21
GSM2172105,21
GSM2172106,21
GSM2172107,21
GSM2172108,21
GSM2172109,21
GSM2172110,21
GSM2172111,21
GSM2172112,21
GSM2172113,21
GSM2172114,21
GSM2172115,21
GSM2172116,21
GSM2172117,21
GSM2172118,21
GSM2172119,21
GSM2172120,21
GSM2172121,21
GSM2172122,21
GSM2172123,21
GSM2172124,21
GSM2172125,21
GSM2172126,21
GSM2172127,21
GSM2172128,21
GSM2172129,21
GSM2172130,21
GSM2172131,21
GSM2172132,21
GSM2172133,21
GSM2172134,21
GSM2172135,21
GSM2172136,21
GSM2172137,21
GSM2172138,21
GSM2172139,21
GSM2172140,21
GSM2172141,21
GSM2172142,21
GSM2172143,21
GSM2172144,21
GSM2172145,21
GSM2172146,21
GSM2172147,21
GSM2172148,21
GSM2172149,21
GSM2172150,21
GSM2172151,21
GSM2172152,21
GSM2172153,21
GSM2172154,21
GSM2172155,21
GSM2172156,21
GSM2172157,21
GSM2172158,21
GSM2172159,21
GSM2172160,21
GSM2172161,21
GSM2172162,21
GSM2172163,21
GSM2172164,21
GSM2172165,21
GSM2172166,21
GSM2172167,21
GSM2172168,21
GSM2172169,21
GSM2172170,21
GSM2172171,21
GSM2172172,21
GSM2172173,21
GSM2172174,21
GSM2172175,21
GSM2172176,21
GSM2172177,21
GSM2172178,21
GSM2172179,21
GSM2172180,21
GSM2172181,21
GSM2172182,21
GSM2172183,21
GSM2172184,21
GSM2172185,21
GSM2172186,21
GSM2172187,21
GSM2172188,21
GSM2172189,21
GSM2172190,21
GSM2172191,21
GSM2172192,21
GSM2172193,21
GSM2172194,21
GSM2172195,21
GSM2172196,21
GSM2172197,21
GSM2172198,21
GSM2172199,21
GSM2172200,21
GSM2172201,21
GSM2172202,21
GSM2172203,21
GSM2172204,21
GSM2172205,21
GSM2172206,21
GSM2172207,21
GSM2172208,21
GSM2172209,21
GSM2172210,21
GSM2172211,21
GSM2172212,21
GSM2172213,21
GSM2172214,21
GSM2172215,21
GSM2172216,21
GSM2172217,21
GSM2172218,21
GSM2172219,21
GSM2172220,21
GSM2172221,21
GSM2172222,21
GSM2172223,21
GSM2172224,21
GSM2172225,21
GSM2172226,21
GSM2172227,21
GSM2172228,21
GSM2172229,21
GSM2172230,21
GSM2172231,21
GSM2172232,21
GSM2172233,21
GSM2172234,21
GSM2172235,21
GSM2172236,21
GSM2172237,21
GSM2172238,21
GSM2172239,21
GSM2172240,21
GSM2172241,21
GSM2172242,21
GSM2172243,21
GSM2172244,21
GSM2172245,21
GSM2172246,21
GSM2172247,21
GSM2172248,21
GSM2172249,21
GSM2172250,21
GSM2172251,21
GSM2172252,21
GSM2172253,21
GSM2172254,21
GSM2172255,21
GSM2172256,21
GSM2172257,21
GSM2172258,21
GSM2172259,21
GSM2172260,21
GSM2172261,21
GSM2172262,21
GSM2172263,21
GSM2172264,21
GSM2172265,21
GSM2172266,21
GSM2172267,21
GSM2172268,21
GSM2172269,21
GSM2172270,21
GSM2172271,21
GSM2172272,21
GSM2172273,21
GSM2172274,21
GSM2172275,21
GSM2172276,21
GSM2172277,21
GSM2172278,21
GSM2172279,21
GSM2172280,21
GSM2172281,21
GSM2172282,21
GSM2172283,21
GSM2172284,21
GSM2172285,21
GSM2172286,21
GSM2172287,21
GSM2172288,21
GSM2172289,21
GSM2172290,21
GSM2172291,21
GSM2172292,21
GSM2172293,21
GSM2172294,21
GSM2172295,21
GSM2172296,21
GSM2172297,21
GSM2172298,21
GSM2172299,21
GSM2172300,21
GSM2172301,21
GSM2172302,21
GSM2172303,21
GSM2172304,21
GSM2172305,21
GSM2172306,21
GSM2172307,21
GSM2172308,21
