Gene	Beta
ERCC-00046	-24084.667977250036
CEL	-15889.749328524013
CELA2B	-13747.563214576438
ERCC-00096	-11115.54268769315
RPS4Y1	-10140.247274962694
ERCC-00130	-9910.444437702454
RPL37A	-7820.603571367581
ACTB	-7801.228618474587
FXYD2	-7717.387109508001
CPE	-7338.048666700896
HSP90AA1	-7226.127764562583
TTR	-6911.632770210475
ERCC-00108	-6812.417511313408
CHGA	-6461.707056388741
UBB	-6233.46975269083
ERCC-00003	-6136.074947355987
EIF5	-5820.1601762677965
HSP90AB1	-5495.410025003841
RBP4	-5401.416897588518
TACSTD2	-5332.891195974068
KLK1	-5191.4954301765765
CSDA	-5028.155720758412
CHD2	-4991.9986332722165
DDX5	-4853.378075071656
REG3G	-4753.3944544349015
CTRC	-4678.0276358609035
UGDH	-4663.154576768374
HSPA1A	-4525.79141039066
QPCT	4360.186505707888
SYCN	4405.019273377146
REG1B	4435.402189854361
KIAA1244	4502.037199227177
RPS4X	4766.337068289884
TMSB4X	5020.477823433288
MALAT1	5135.28000546005
PDK4	5997.190444987689
CPB1	6216.4749299814175
HSPA1B	7074.6237950997365
PLA2G1B	7251.308090286644
ZNF331	7300.976769634096
FTL	7377.595252152962
ERCC-00136	7467.807698213609
SERPINA3	7575.3627233213
PNLIPRP1	9456.116858165118
INS	9858.994988498616
CTRB1	10969.462543550733
PCSK1N	12319.193299813443
ERCC-00002	12463.317393474737
ERCC-00074	14745.249697325555
ERCC-00004	18497.37319223616
